filename,width,height,class,xmin,ymin,xmax,ymax
glass1.jpg,512,384,glass,207,182,445,322
glass10.jpg,512,384,glass,49,266,512,382
glass100.jpg,512,384,glass,19,113,489,317
glass101.jpg,512,384,glass,165,24,453,384
glass102.jpg,512,384,glass,71,108,423,244
glass103.jpg,512,384,glass,189,1,427,384
glass104.jpg,512,384,glass,1,38,472,192
glass105.jpg,512,384,glass,159,99,398,384
glass106.jpg,512,384,glass,171,1,309,352
glass107.jpg,512,384,glass,187,1,443,383
glass108.jpg,512,384,glass,128,98,363,298
glass109.jpg,512,384,glass,120,3,512,351
glass11.jpg,512,384,glass,59,86,446,292
glass110.jpg,512,384,glass,105,61,379,384
glass111.jpg,512,384,glass,117,43,405,313
glass112.jpg,512,384,glass,76,179,440,384
glass113.jpg,512,384,glass,45,128,450,260
glass114.jpg,512,384,glass,145,76,487,384
glass115.jpg,512,384,glass,201,113,306,221
glass116.jpg,512,384,glass,4,98,382,313
glass117.jpg,512,384,glass,85,4,511,329
glass118.jpg,512,384,glass,1,42,512,216
glass119.jpg,512,384,glass,74,1,355,384
glass12.jpg,512,384,glass,54,72,330,237
glass120.jpg,512,384,glass,253,103,510,384
glass121.jpg,512,384,glass,1,52,512,273
glass122.jpg,512,384,glass,1,1,326,375
glass123.jpg,512,384,glass,53,1,437,259
glass124.jpg,512,384,glass,1,79,458,287
glass125.jpg,512,384,glass,18,144,512,292
glass126.jpg,512,384,glass,146,1,511,383
glass127.jpg,512,384,glass,215,123,325,229
glass128.jpg,512,384,glass,32,64,512,255
glass129.jpg,512,384,glass,177,3,512,382
glass13.jpg,512,384,glass,72,82,315,296
glass130.jpg,512,384,glass,140,88,512,285
glass131.jpg,512,384,glass,132,1,420,310
glass132.jpg,512,384,glass,175,114,318,260
glass133.jpg,512,384,glass,175,49,508,384
glass134.jpg,512,384,glass,153,168,511,384
glass135.jpg,512,384,glass,96,68,401,259
glass136.jpg,512,384,glass,192,77,363,382
glass137.jpg,512,384,glass,1,124,383,304
glass138.jpg,512,384,glass,53,56,366,384
glass139.jpg,512,384,glass,4,5,510,380
glass14.jpg,512,384,glass,172,129,333,244
glass140.jpg,512,384,glass,114,104,326,259
glass141.jpg,512,384,glass,1,1,317,366
glass142.jpg,512,384,glass,60,1,468,384
glass143.jpg,512,384,glass,1,102,512,343
glass144.jpg,512,384,glass,137,48,353,342
glass145.jpg,512,384,glass,2,119,512,348
glass146.jpg,512,384,glass,177,1,373,384
glass147.jpg,512,384,glass,106,66,313,218
glass148.jpg,512,384,glass,28,91,424,384
glass149.jpg,512,384,glass,1,75,512,203
glass15.jpg,512,384,glass,106,118,308,274
glass150.jpg,512,384,glass,39,37,375,327
glass151.jpg,512,384,glass,1,100,512,353
glass152.jpg,512,384,glass,52,112,482,257
glass153.jpg,512,384,glass,124,33,379,292
glass154.jpg,512,384,glass,203,1,472,384
glass155.jpg,512,384,glass,99,125,510,335
glass156.jpg,512,384,glass,5,7,511,382
glass157.jpg,512,384,glass,2,2,403,383
glass158.jpg,512,384,glass,168,101,450,383
glass159.jpg,512,384,glass,171,73,358,384
glass16.jpg,512,384,glass,97,53,290,199
glass160.jpg,512,384,glass,136,74,396,314
glass161.jpg,512,384,glass,79,134,379,235
glass162.jpg,512,384,glass,113,92,455,384
glass163.jpg,512,384,glass,1,17,306,329
glass164.jpg,512,384,glass,191,38,511,384
glass165.jpg,512,384,glass,1,1,407,221
glass166.jpg,512,384,glass,53,155,404,261
glass167.jpg,512,384,glass,19,65,336,359
glass168.jpg,512,384,glass,172,59,435,300
glass169.jpg,512,384,glass,145,35,410,331
glass17.jpg,512,384,glass,2,59,496,290
glass170.jpg,512,384,glass,149,120,315,286
glass171.jpg,512,384,glass,102,100,414,271
glass172.jpg,512,384,glass,183,124,477,256
glass173.jpg,512,384,glass,163,127,358,324
glass174.jpg,512,384,glass,1,1,422,384
glass175.jpg,512,384,glass,162,140,311,286
glass176.jpg,512,384,glass,1,1,512,292
glass177.jpg,512,384,glass,1,92,465,325
glass178.jpg,512,384,glass,123,130,288,219
glass179.jpg,512,384,glass,2,110,427,384
glass18.jpg,512,384,glass,24,163,511,331
glass180.jpg,512,384,glass,49,130,282,272
glass181.jpg,512,384,glass,14,188,467,303
glass182.jpg,512,384,glass,160,99,285,228
glass183.jpg,512,384,glass,140,119,281,257
glass184.jpg,512,384,glass,149,1,512,295
glass185.jpg,512,384,glass,46,43,462,311
glass186.jpg,512,384,glass,82,42,427,384
glass187.jpg,512,384,glass,82,113,297,243
glass188.jpg,512,384,glass,128,78,276,285
glass189.jpg,512,384,glass,255,1,512,258
glass19.jpg,512,384,glass,36,103,508,384
glass190.jpg,512,384,glass,1,107,402,383
glass191.jpg,512,384,glass,122,133,283,243
glass192.jpg,512,384,glass,1,1,512,347
glass193.jpg,512,384,glass,145,85,320,250
glass194.jpg,512,384,glass,77,110,315,235
glass195.jpg,512,384,glass,65,36,417,377
glass196.jpg,512,384,glass,139,20,345,321
glass197.jpg,512,384,glass,221,123,399,384
glass198.jpg,512,384,glass,116,21,399,361
glass199.jpg,512,384,glass,6,1,487,383
glass2.jpg,512,384,glass,70,98,280,276
glass20.jpg,512,384,glass,132,7,448,384
glass200.jpg,512,384,glass,52,1,507,363
glass201.jpg,512,384,glass,80,123,498,383
glass202.jpg,512,384,glass,107,48,395,307
glass203.jpg,512,384,glass,119,116,390,273
glass204.jpg,512,384,glass,56,119,290,278
glass205.jpg,512,384,glass,89,28,268,354
glass206.jpg,512,384,glass,76,72,414,330
glass207.jpg,512,384,glass,80,113,380,261
glass208.jpg,512,384,glass,30,73,430,275
glass209.jpg,512,384,glass,53,92,298,225
glass21.jpg,512,384,glass,8,4,436,384
glass210.jpg,512,384,glass,105,86,366,279
glass211.jpg,512,384,glass,48,90,326,238
glass212.jpg,512,384,glass,143,162,346,272
glass213.jpg,512,384,glass,217,176,307,267
glass214.jpg,512,384,glass,190,69,328,330
glass215.jpg,512,384,glass,131,71,366,306
glass216.jpg,512,384,glass,66,142,366,254
glass217.jpg,512,384,glass,78,103,311,261
glass218.jpg,512,384,glass,76,86,414,264
glass219.jpg,512,384,glass,52,1,437,384
glass22.jpg,512,384,glass,196,134,406,384
glass220.jpg,512,384,glass,85,156,273,236
glass221.jpg,512,384,glass,210,58,329,319
glass222.jpg,512,384,glass,142,142,407,269
glass223.jpg,512,384,glass,151,149,349,273
